[step],(mean) curr-fish-count,(mean) curr-shark-count,(mean) curr-food-count,,,,
181,82.75,27.25,102.75,,,,
182,84.25,26.25,101.25,,,,
183,88,24.25,99.75,,,,
184,99,32.66666667,93.33333333,,,,
185,100.3333333,33.33333333,93,,,,
186,103.6666667,32.33333333,93,,,,
187,104,32.66666667,92.66666667,,,,
188,107,33.66666667,90.33333333,,,,
189,110.3333333,34.33333333,90,,,,
190,112.6666667,34.33333333,90,,,,
191,116,35,88.66666667,,,,
192,119,34,90,,,,
193,119.6666667,36,89.66666667,,,,
194,122.6666667,35.66666667,90,,,,
195,124.6666667,38,89,,,,
196,126,37.66666667,86.66666667,,,,
197,131.6666667,38,86.33333333,,,,
198,133.3333333,40.66666667,85.66666667,,,,
199,132.6666667,40,83.66666667,,,,
200,133,41,82.66666667,,,,
201,138.3333333,41.33333333,81.33333333,,,,
202,139.3333333,43,80.33333333,,,,
203,143.6666667,42.66666667,78.66666667,,,,
204,145.6666667,43,79.33333333,,,,
205,146,43.66666667,77.33333333,,,,
206,148.6666667,44.33333333,78,,,,
207,153.3333333,45.33333333,76.66666667,,,,
208,153,45,76.66666667,,,,
209,156,47,76.66666667,,,,
210,159.6666667,47.66666667,76.33333333,,,,
211,160.6666667,49.33333333,74,,,,
212,164.3333333,51.33333333,72.33333333,,,,
213,166.6666667,51.33333333,72,,,,
214,172.6666667,52,72.33333333,,,,
215,172.6666667,51.66666667,70.66666667,,,,
216,171.3333333,52,69,,,,
217,173,53.33333333,68,,,,
218,178,56,67.33333333,,,,
219,181,58.33333333,64.66666667,,,,
220,182,58,65.66666667,,,,
221,186.3333333,58,62.33333333,,,,
222,190.6666667,58,62.33333333,,,,
223,193,63.33333333,60.33333333,,,,
224,196,64,60.66666667,,,,
225,198,67,58.66666667,,,,
226,200.3333333,67.66666667,59,,,,
227,201.6666667,70,58,,,,
228,204.6666667,72,57,,,,
229,207.3333333,76,56.33333333,,,,
230,207,76,54.33333333,,,,
231,213.3333333,77.33333333,53.33333333,,,,
232,212.6666667,78.33333333,52,,,,
233,213.3333333,80.33333333,50,,,,
234,219.3333333,84,49,,,,
235,222.6666667,89.66666667,49.66666667,,,,
236,220.3333333,92.66666667,50,,,,
237,224,96.66666667,49.66666667,,,,
238,228.6666667,96.66666667,48.66666667,,,,
