[step],(mean) curr-fish-count,(mean) curr-shark-count,(mean) curr-food-count
233,62.77777778,6.444444444,168.8888889
234,63.77777778,6.444444444,169.2222222
235,64,6.333333333,167.6666667
236,64.66666667,6.333333333,166.7777778
237,65.11111111,6.333333333,165.8888889
238,66.22222222,6.333333333,164.3333333
239,66.88888889,6.333333333,164.2222222
240,67.88888889,6.222222222,164.3333333
241,68.22222222,6.111111111,162.4444444
242,68.77777778,6.222222222,161.7777778
243,69.33333333,6.222222222,160.6666667
244,69.88888889,6.222222222,160
245,70.22222222,6.111111111,158.8888889
246,71,6.222222222,158.1111111
247,72.11111111,6.222222222,157.8888889
248,73.11111111,6.222222222,157.1111111
249,74,6.222222222,156.8888889
250,74.77777778,6,156
251,75.22222222,6.222222222,154.3333333
252,75.33333333,6.222222222,154.1111111
253,76.77777778,6.222222222,153
254,77,6.111111111,152.2222222
255,77.11111111,6.111111111,151.6666667
256,78,6.111111111,151.4444444
257,78.66666667,6,150.3333333
258,79.22222222,5.888888889,148.2222222
259,79.22222222,5.777777778,147
260,80.11111111,5.777777778,146
261,80.77777778,5.666666667,144.3333333
262,80.44444444,5.666666667,143.6666667
263,80.55555556,5.666666667,142.5555556
264,82.11111111,5.333333333,142.1111111
265,83.11111111,5.222222222,141.6666667
266,84.33333333,5.333333333,141.7777778
267,85.22222222,5.222222222,140.6666667
268,84.88888889,5.333333333,140.2222222
269,86.33333333,5.333333333,139.4444444
270,86.22222222,5.333333333,138.5555556
271,86.55555556,5.222222222,137.5555556
272,87.11111111,5.111111111,137.4444444
273,87.22222222,5.111111111,136.3333333
274,88.11111111,5.111111111,136.4444444
275,88.88888889,5,134.7777778
276,89.33333333,5,133.8888889
277,89.44444444,5,132.6666667
278,90.55555556,4.777777778,130.6666667
279,91.11111111,4.666666667,129.8888889
280,93.11111111,4.666666667,129.3333333
281,92.88888889,4.555555556,128.1111111
282,93.44444444,4.555555556,128.5555556
283,94,4.444444444,127.7777778
284,94.33333333,4.666666667,127
285,94.11111111,4.666666667,125.7777778
286,94.22222222,4.666666667,125.7777778
287,95.11111111,4.555555556,126
288,95.66666667,4.444444444,125
289,96.33333333,4.444444444,123.6666667
290,96.66666667,4.333333333,123
291,96.77777778,4.333333333,121.7777778
292,97.22222222,4.222222222,119.2222222
293,103.625,4.625,111.25
294,104.625,4.625,110
295,105.75,4.375,109.5
296,106.375,4.5,108.5
297,107.625,4.5,106.875
298,108.375,4.375,106
299,108.25,4.5,105.875
300,108.125,4.625,105.5
301,109.125,4.625,104.25
302,109.25,4.625,103.875
303,110,4.5,102.75
304,110.375,4.5,101.5
305,110.625,4.375,100.5
306,111.125,4.625,100.625
307,111.75,4.5,99.875
308,113.125,4.5,98
309,113.5,4.5,97
310,113.875,4.375,96.375
311,113.375,4.375,93.375
312,113.375,4.375,93
313,114.125,4.375,93.25
314,114.5,4.25,92.25
315,115.125,4.25,91.75
316,116.625,4.375,90
317,117.5,4.375,88.375
318,118.875,4.375,86.875
319,120.375,4.25,86.125
320,121.125,4.125,84.625
321,123.125,4,82.875
322,124.75,4,82.75
323,126.125,4,82.75
324,125.75,3.875,82.5
325,127.125,3.875,80.125
