[step],(mean) curr-fish-count,(mean) curr-shark-count,(mean) curr-food-count,,,,
181,88.33333333,20.22222222,105.7777778,,,,
182,89.66666667,20.55555556,104.8888889,,,,
183,91.11111111,20.88888889,103.6666667,,,,
184,93.55555556,21.55555556,102.4444444,,,,
185,96,21.55555556,102.1111111,,,,
186,99.33333333,22,101.1111111,,,,
187,101.8888889,21.66666667,100.4444444,,,,
188,105.1111111,21.77777778,98.66666667,,,,
189,108.8888889,22.44444444,98.11111111,,,,
190,111.3333333,23,97.88888889,,,,
191,113.3333333,23.55555556,97.22222222,,,,
192,115.3333333,24.11111111,95.66666667,,,,
193,116.6666667,24.88888889,94.77777778,,,,
194,117.7777778,25.11111111,94.66666667,,,,
195,135.125,30.125,87.5,,,,
196,136.75,30.75,88,,,,
197,139,30.75,87.5,,,,
198,142.625,32.5,87,,,,
199,145.5,34,85.75,,,,
200,149.375,35.625,84.625,,,,
201,152,36,82.875,,,,
202,156.25,37.375,83.125,,,,
203,161.5,38.5,82.125,,,,
204,165.5,39.125,80.5,,,,
205,167.75,41.25,80.625,,,,
206,174,43.25,81.125,,,,
207,178.5,44.125,81,,,,
208,182,46,80,,,,
209,184.125,46.5,79.625,,,,
210,188.25,46.875,76.625,,,,
211,191.25,48.75,75.125,,,,
212,195.875,50.625,74,,,,
213,199.125,52.5,72.125,,,,
214,204,54.875,71.125,,,,
215,209.625,56.125,70.625,,,,
216,215.25,57.5,69.375,,,,
217,221.625,58.375,67.125,,,,
218,228.625,60.5,66.5,,,,
219,235.75,62.125,66.125,,,,
220,240.375,62.875,64.625,,,,
221,247.875,64.125,63.75,,,,
222,254.875,66,63.5,,,,
223,263.125,68.25,63.625,,,,
224,272.125,71,63.125,,,,
225,276.625,74.125,61.625,,,,
226,283.25,76,59.75,,,,
227,288.75,79.625,58.25,,,,
228,293.375,79.5,58.25,,,,
229,296.875,80.5,57.75,,,,
230,303.875,81.5,56.875,,,,
231,310.25,83,56.125,,,,
232,318.625,85.875,56.375,,,,
233,324.875,88,55.125,,,,
234,334.625,89.625,55.5,,,,
235,341.875,90.875,55.5,,,,
236,352.125,93.625,54.625,,,,
237,363.625,96.5,54.125,,,,
238,372.25,98.75,53.75,,,,
239,381.25,101.125,53.5,,,,
240,385.875,104.125,52.125,,,,
241,393.375,107.125,51.375,,,,
242,401.75,109.5,49.875,,,,
243,409.125,114.25,49.25,,,,
244,414.75,117.25,49,,,,
245,423.25,119,48.75,,,,
246,431.125,123.25,48,,,,
247,437.375,124.5,46.625,,,,
248,447.75,128.375,45.75,,,,
249,452.25,130.875,44.125,,,,
250,457.25,134,44,,,,
251,464.625,136.125,43.5,,,,
252,472,139.5,43.25,,,,
253,477.625,142,43.625,,,,
254,480,144,41.625,,,,
255,484.25,144.5,39.75,,,,
256,491.875,148,38.25,,,,
257,497.5,152.625,38.625,,,,
258,503.625,155,38.75,,,,
259,507,159.5,38.875,,,,
260,513,164.25,39.5,,,,
261,513.625,167.75,39.125,,,,
262,518,171.125,37.5,,,,
263,522.75,173.625,37.875,,,,
264,524.375,179,37.125,,,,
265,530,183.125,37,,,,
266,532,186.75,36,,,,
267,536.625,189.75,35.75,,,,
268,534.5,191.875,35.375,,,,
269,533.75,195.625,35,,,,
270,531.625,200.25,35,,,,
271,535.25,203.125,35.125,,,,
272,537.875,204.75,34.125,,,,
273,537.875,209.5,34.625,,,,
274,542.375,215.25,33.875,,,,
275,542.75,220.25,33.375,,,,
276,534,221.5,32.125,,,,
277,531,226.125,31.875,,,,
278,528.25,230.25,31,,,,
279,522.25,233,30.875,,,,
280,519,238,30.5,,,,
281,518.125,244.375,30.25,,,,
282,512.125,248.375,31.25,,,,
283,507.625,253.5,30.625,,,,
284,504.25,259.375,30.125,,,,
285,500,264,30.5,,,,
286,493.375,269.375,31.625,,,,
287,487.625,276.125,30.75,,,,
288,483.125,277.875,29.875,,,,
289,475.875,282.875,30,,,,
290,470,289.375,30.25,,,,
291,467.625,295.625,31.5,,,,
292,462,300.75,31.5,,,,
293,460.125,308.25,31.125,,,,
294,455.75,313.375,30.875,,,,
295,450,316.625,31.75,,,,
296,446,323.75,31.875,,,,
297,438.5,330.25,31.625,,,,
298,428.625,338.75,31.375,,,,
299,422.875,346.75,32.125,,,,
300,419.375,353.125,33.125,,,,
301,408.875,359.5,33.25,,,,
302,401.625,364.25,33.5,,,,
303,395,372.375,33.875,,,,
304,384.875,378,34,,,,
305,379.125,383.25,34.875,,,,
306,366.375,389.25,34.75,,,,
307,360.375,395.75,35.875,,,,
308,350.375,402,35.75,,,,
309,343.875,407.75,36,,,,
310,339.125,415.875,36.25,,,,
311,334.25,424.25,36.25,,,,
312,324.5,433,36,,,,
313,319.375,439.25,36.875,,,,
314,311.5,443.25,37.625,,,,
315,306.625,447,38.5,,,,
316,299,455.625,38.75,,,,
317,294.25,463.875,38.875,,,,
318,288.25,466.75,39,,,,
319,281.625,470,39,,,,
320,275.25,475.875,40,,,,
321,269,480.375,40.375,,,,
322,265.125,486.75,40.5,,,,
323,262,490.375,40.625,,,,
324,261.75,495.25,41.625,,,,
325,260.875,500.125,41.5,,,,
326,262.25,504.125,42.25,,,,
327,264.75,509.75,43.625,,,,
328,267.125,514.25,44,,,,
329,273.125,517.5,44,,,,
330,276.875,525.75,44.625,,,,
331,281.125,526.75,45,,,,
332,285.375,529.375,46,,,,
333,289.125,534.875,46.75,,,,
334,291.875,539.625,48.625,,,,
335,300.375,543.625,49.25,,,,
336,306,545,49.375,,,,
337,310.625,547.875,50.5,,,,
338,314.25,547.5,51.125,,,,
