[step],(mean) curr-fish-count,(mean) curr-shark-count,(mean) curr-food-count
1,30.1,30.3,22.6
2,30.2,30.7,24.2
3,30.3,31.1,25.8
4,30,31.4,28.1
5,29.3,31.9,29.8
6,29,32,31.4
7,29.1,32.1,33.1
8,29.2,32.6,35
9,29,33.1,36.9
10,28.9,33.4,38.4
11,29.7,33.7,39.9
12,29.8,33.8,41.6
13,29.2,34,43.3
14,28.8,34.5,45.1
15,29,34.7,47.1
16,28.6,35.1,49.3
17,28.8,35.4,51.1
18,28.8,36,53.1
19,28.9,36.3,54.9
20,29.2,36.5,56.2
21,29,36.8,57.7
22,29.6,37.4,59.6
23,29.9,37.7,61.2
24,30.1,38.1,62.9
25,30.8,38.3,64.3
26,30.4,38.8,66.1
27,30.5,39.3,67.4
28,30.4,39.9,69.2
29,30,40.2,71
30,29.8,40.2,73
31,29,40.7,74.3
32,28,40.9,75.9
33,28,41.1,77.1
34,28.3,41.8,79.1
35,28.3,41.8,79.9
36,28.2,42.4,80.4
37,28.4,43,81
38,28.8,43.2,82.4
39,29.5,43.6,82.4
40,29.3,44.1,83.3
41,28.9,44.7,84.5
42,28.5,44.9,86.2
43,28.3,45.2,88.2
44,27.7,45.8,90
45,27.8,46.2,91.8
46,27.9,46.7,93.3
47,28.2,47.2,95
48,28.3,47.7,96
49,28.1,48,97.1
50,27.6,48.1,98
51,28,48.7,99.7
52,27.1,49.4,100.9
53,26.5,50.1,101.6
54,25.9,50.4,103.3
55,26,50.8,104.6
56,25.2,51.2,105.7
57,25,51.7,106
58,25,52.2,108.1
59,25.2,52.7,109.9
60,24.9,41.4,110.9
61,24.6,41.4,112.6
62,24.6,41.8,114.1
63,24.4,42.1,115.1
64,23,42.2,116.4
65,22.7,42.3,117.8
66,22.9,42.5,118.1
67,22.4,43,119.8
68,21.4,34.4,121.3
69,21.7,34.7,122
70,21.8,35.1,123
71,22,35.6,124.4
72,21.1,35.6,125.8
73,21,35.6,126.6
74,21,35.9,127.1
75,21,35.9,128.2
76,20.6,30,129.3
77,20.4,29.8,130.2
78,21.1,29.6,132
79,21.6,29.1,133.3
80,21.1,29.3,134.7
81,20.9,29.4,135.9
82,21.2,29.3,136.9
83,21.1,29.8,138.6
84,20.5,27.2,138.5
85,20.2,27.5,139.8
86,20.8,26.7,140.5
87,20.8,27.1,141.6
88,20.7,27.2,142.5
89,20.9,27.3,143.7
90,21,27.2,144.6
91,20.9,27.2,145.6
92,20.5,25.9,146.2
93,20.5,25.7,147.3
94,20.9,25.7,148.3
95,20.5,25.5,149.4
96,20.5,25.5,151
97,20.6,25.4,151.9
98,20.2,25.5,152.6
99,19.6,25.4,153.9
100,19.4,25.5,155.4
101,19.4,25.4,156.8
102,19.1,25.4,158.3
103,19.4,25.5,160.3
104,19,25,161.6
105,18.7,25.1,163
106,18.4,25.2,165
107,18.4,25.3,166.1
108,18.5,25.1,167
109,18.5,25,168.6
110,18.4,24.9,170.3
111,17.7,24.4,171.6
112,17.9,23.7,173.2
113,17.8,23.3,174.3
114,18,23.4,175.9
115,18,22.9,176.9
116,18.3,22.8,178.2
117,19.1,22.3,179.3
118,19.2,22.1,180.9
119,19.2,21.9,182
120,19.1,21.9,183
121,19.4,21.8,183.9
122,19.3,21.5,185.2
123,18.5,21.1,186.4
124,18.5,20.8,187.7
125,18.3,21.1,189.4
126,18.6,21.1,190.3
127,18.8,20.4,191.4
128,18.7,20.7,192.4
129,18.7,20.2,193.6
130,19.1,20,194.8
131,18.9,19.8,196.6
132,18.7,20,197.8
133,18.7,19.6,199.1
134,18.2,19.3,200
135,18.4,19.2,200.9
136,18.3,18.9,201.3
137,18.4,18.8,202.2
138,18.1,18.6,203.3
139,17.5,18.7,204.5
140,17.6,18.4,206.1
141,17.2,18.2,206.8
142,17.3,18.5,208.3
143,17.4,17.9,208.8
144,17.4,18,209.7
145,17.5,17.8,211
146,17.8,18.1,212
147,17.7,17.7,213
148,18,17.5,214.2
149,18.1,17.5,215.2
150,18.4,17.2,216.1
151,18.2,16.7,217
152,18.4,16.8,218.1
153,18.6,16.8,218.5
154,18.7,16.7,218.7
155,18.5,16.8,219.8
156,19.1,16.5,221.1
157,19.3,16.1,221
158,19.6,16,221.6
159,19.9,15.8,221.7
160,20.4,15.4,221
161,20.7,15.5,221.3
162,20.7,15,221.5
163,20.9,14.8,221.4
164,21.2,14.6,221.5
165,21.2,14.3,222.2
166,21,14.1,223.4
167,20.7,13.9,224.5
168,21,13.8,225.6
169,21.2,13.4,226.6
170,21.4,13.5,227.9
171,21.4,13.5,228.3
172,21.7,13.5,228
173,22.4,13.3,228.4
174,22.3,13.2,229.3
175,21.9,13.2,230.2
176,21.9,13.1,229.8
177,21.8,13.1,229.5
178,21.8,13.1,229.2
179,21.8,13.2,229.7
180,21.9,12.7,231.3
181,22.7,12.9,231.9
182,23.3,12.7,232.2
183,23.9,12.8,232.2
184,24,12.5,232.1
185,24.4,12.1,231.9
186,24.8,12.1,232
187,25.2,12.3,233
188,25.5,12,233.7
189,25.6,11.7,233.2
190,26,11.4,233
191,26.2,11.4,233.7
192,26.8,11.2,233.5
193,27.4,10.8,233.6
194,27.9,10.7,233.8
195,28.6,10.8,233.1
196,29.1,10.5,233.5
197,29.4,10.4,233.4
198,29.4,10.2,233.2
199,29.8,9.8,232.7
200,29.7,9.6,232.1
201,30.5,9.6,231.7
202,31.5,9.2,231
203,31.3,9.2,230.4
204,31.4,9.1,230.5
205,31.3,9.1,229.6
206,31.4,9.1,229.3
207,31.7,9,229.7
208,31.6,8.8,230.2
209,31.9,8.7,230.3
210,32.2,8.7,229.2
211,32.9,8.7,230.1
212,33.1,8.4,230
213,33.3,8.2,230
214,33.9,8,229.8
215,34.1,7.9,228.7
216,34.3,7.9,228.3
217,35,7.8,227.2
218,35.1,7.4,226.8
219,35.4,7.4,226
220,35.3,7.6,226.6
221,35.2,7.5,227.2
222,35.1,7.4,226.1
223,35.4,7.5,226
224,35.8,7.4,226.2
225,35.6,7.5,224.5
226,36.1,7.5,224.1
227,37.1,7.4,223.4
228,36.5,7.3,222.3
229,36.9,7.4,222.7
230,36.9,7.2,222.8
231,36.9,7.1,223.1
232,37.2,7,223.2
233,38.6,7,221.9
234,39,6.8,220.8
235,39.3,6.7,219.3
236,39.6,6.5,219.4
237,39.9,6.6,218.9
238,40.2,6.5,219
239,40.7,6.4,218.8
240,41,6.4,218.1
241,41.4,6.2,217.3
242,41.5,6.2,216
243,42.3,6.2,216.6
244,43.4,6.3,216.4
245,43.8,6.3,216.5
246,43.7,6.2,216.9
247,44.3,5.7,216.5
248,44.5,5.7,215.4
249,44.2,5.7,214.1
250,44.6,5.5,213.6
251,44.5,5.6,213.2
252,44.9,5.6,212.7
253,44.9,5.5,210.9
254,45.3,5.3,210.7
255,45.6,5.2,210.3
256,46,5.1,209.5
257,46.7,5.1,208.1
258,46.5,5,207.9
259,46.6,5,207.6
260,46.8,5,206.6
261,46.9,5,206.2
262,47.9,5,205.3
263,48.7,4.8,203.9
264,48.5,4.9,202.7
265,49.1,4.9,202
266,50,4.8,200.9
267,50.3,4.8,200.4
268,50.6,4.9,200.3
269,50.9,4.9,199.7
270,50.8,5,198.3
271,51.8,5,196.6
272,52.3,4.9,196.7
273,52.9,4.7,196.2
274,53.4,4.5,194.6
275,54.5,4.5,194.6
276,55,4.5,195.2
277,54.7,4.5,194.8
278,55.4,4.4,193.6
279,56.7,4.4,193.3
280,57.7,4.4,192.8
281,57.7,4.5,192.1
282,58.1,4.4,191.4
283,58.6,4.4,190.3
284,59.3,4.4,189
285,58.9,4.3,189.1
286,60,4.3,188.4
287,60.9,4.3,187.7
288,60.4,4.3,186.7
289,61.2,4.3,185.8
290,61.6,4.3,185.1
291,62.1,4.3,184.4
292,62.7,4.4,184
293,63.2,4.5,183.3
294,64.1,4.5,182.6
295,64.1,4.5,180.9
296,64.8,4.1,180.7
297,65.2,4,179.3
298,65.6,4,179
299,66.5,4,176.4
300,66.7,4.1,174.7
