[step],(mean) curr-fish-count,(mean) curr-shark-count,(mean) curr-food-count
1,101.9,53,46.5
2,101.9,55.6,44
3,104.4,58.9,41.9
4,105.2,61.4,38.8
5,105.7,64.3,38.5
6,107.1,67.3,37
7,108.4,70.5,35.7
8,107.7,74.1,34
9,105.3,77.1,33.4
10,105.5,80.4,33.5
11,104.1,83.8,31.4
12,103.8,88.6,30.2
13,103.4,92.2,29.3
14,103.1,95.8,28.8
15,101.8,82.7,27.7
16,102.2,86,27.4
17,102.1,89,26.8
18,103.2,91.3,26.1
19,103.6,94.6,26
20,102.9,97.5,26
21,103.1,101.6,26
22,100.8,104.4,25.7
23,100.6,109.1,25.4
24,101,112.1,25.5
25,99.6,116.7,25.3
26,99.7,119.6,25.3
27,98.3,122.7,24.5
28,97.5,126.1,24.7
29,97.9,130.2,24.5
30,96.4,126.7,25.3
31,97,129.9,25.1
32,95.7,134.4,24.2
33,93.8,137,23.6
34,91,142.5,23.1
35,89.5,147.8,23.3
36,87.5,152.5,23.5
37,83.5,157.1,23.1
38,81.9,161.1,22.7
39,79.2,166.6,23.5
40,78.5,169.5,23.3
41,73.5,173.6,23.3
42,70,178.4,24.3
43,67.3,184,24.4
44,63.2,190.6,23.9
45,60.6,188.3,24.9
46,58.2,190.9,25.7
47,56,193.7,26.2
48,52.8,198.8,26.2
49,50.7,200.7,27.5
50,48.8,205.9,27.2
51,44.3,210.2,28.1
52,41.8,211.9,28.5
53,38.7,214.8,29
54,36.7,217.6,29.4
55,35.8,221.5,29.4
56,33.1,224.7,30.3
57,32.6,227.7,30.9
58,31.4,231.6,30.8
59,29.4,232.3,31.4
60,27.3,229.5,31.9
61,25.6,233.3,32.5
62,24.6,233.6,33.9
63,22.2,234.5,34.9
64,21.4,236.2,35.1
65,19.7,235.7,35.9
66,17.9,235.6,36.6
67,17,237.8,37.9
68,16.2,237.5,38.9
69,15.4,237.7,39.1
70,14.7,236.6,39.5
71,14,237.1,40.3
72,13.5,236.6,40.6
73,12.9,234.9,41.7
74,11.7,234.5,42.7
75,10.8,228.2,43.4
76,10.2,225.7,44.6
77,10.88888889,217.3333333,44.66666667
78,10.33333333,215.1111111,45.55555556
79,9.333333333,214,46.55555556
80,9.333333333,211.4444444,46.66666667
81,9.111111111,210.3333333,47.77777778
82,8.222222222,209.2222222,48.11111111
83,7.888888889,207.5555556,49
84,7.888888889,205.5555556,49.66666667
85,7.555555556,206.4444444,51
86,7.888888889,205.1111111,51.44444444
87,7.777777778,204.5555556,51.77777778
88,7.222222222,203.6666667,52.77777778
89,7,199.3333333,53
90,7.333333333,194.3333333,54.44444444
91,6.777777778,193,56.33333333
92,6.333333333,193.6666667,57
93,6.555555556,191.8888889,57.55555556
94,6.666666667,188.4444444,58.44444444
95,6.666666667,184.6666667,59.22222222
96,6.333333333,180.4444444,60
97,6.777777778,177.8888889,60.77777778
98,6.666666667,175.5555556,62.11111111
99,6.777777778,171.8888889,62.66666667
100,7.111111111,167.1111111,63.55555556
101,7,162.7777778,65
102,8,156.2222222,65.11111111
103,7.888888889,148.8888889,65.33333333
104,7.666666667,147.4444444,66.66666667
105,7.111111111,140.8888889,67.66666667
106,7.625,140.125,66.375
107,7.25,136,67.125
108,7.25,133,68
109,7.375,128.75,68.625
110,7.25,125.125,69
111,7.25,121.625,69.25
112,7.375,116.375,70.875
113,7.375,112.5,71.125
114,7.5,110.375,71.875
115,7.75,106.75,72.125
116,8,102.625,72.5
117,7.875,101.875,72.875
118,8.125,100.75,73.25
119,8.75,96.625,74
120,8.5,93.375,74.375
121,8.875,90.75,75.375
122,8.75,88,76
123,9.375,87,76
124,10.125,83.875,76.25
125,10.125,81.75,77.625
126,10.25,79.25,77.875
127,11,77.875,78.875
128,12.57142857,75.14285714,81.14285714
129,13.14285714,72.57142857,82.14285714
130,13.28571429,70.57142857,82.71428571
131,13.85714286,71.14285714,84
132,14.28571429,70.42857143,84.57142857
133,15.14285714,68.14285714,84.42857143
134,15.71428571,66.57142857,84.57142857
135,16.14285714,63.14285714,84.28571429
136,16.57142857,60.57142857,83.85714286
137,16.85714286,58.28571429,83.42857143
138,17.57142857,55.85714286,84
139,17.85714286,55.71428571,84.28571429
140,17.71428571,53.57142857,84.71428571
141,17.42857143,52.57142857,85.42857143
142,17.71428571,51.42857143,85.28571429
