[step],(mean) curr-fish-count,(mean) curr-shark-count,(mean) curr-food-count,,
183,203,37.4,76.2,,
184,209,37.8,73.4,,
185,216.4,38.6,72.6,,
186,225.2,39.2,71,,
187,230.8,39,69.6,,
188,238.4,38.8,68.6,,
189,238.2,39.8,67.8,,
190,246.8,40.2,66.8,,
191,256.6,39.6,66.2,,
192,265.6,40.6,65.4,,
193,271.8,42.4,64.4,,
194,281.2,43.6,63.8,,
195,288.4,44.2,63.6,,
196,294.6,44.4,62.8,,
197,302,44.4,61.8,,
198,310.4,46,60.8,,
199,319,46.6,60.6,,
200,331,48.2,60.2,,
201,339.4,50,58,,
202,346.6,51.8,58,,
203,353.6,52.6,55.8,,
204,362,54.6,56,,
205,367.4,55,55.2,,
206,372.4,57.6,53.4,,
207,379.8,59.4,52.4,,
208,390.8,61,52.6,,
209,401,63,51.2,,
210,411.2,65.2,49.4,,
211,422.4,66.6,48.2,,
212,433.2,70,46.6,,
213,442.4,71,46.4,,
214,452.2,73.4,45.4,,
215,464.4,75.4,45.2,,
216,479.2,78.8,44.2,,
217,489,79.8,43.2,,
218,502,83,43,,
219,518.6,85.2,42.6,,
220,531.8,88.8,42,,
221,540,91.6,41.4,,
222,551.8,93.6,39.8,,
223,568.6,96.6,38,,
224,580.2,100,39,,
225,594.2,102.6,38.4,,
226,605.6,104.8,39,,
227,620.4,105.8,39,,
228,636,107.4,37.6,,
229,657.6,112.2,36,,
230,680.8,115.2,35.8,,
231,696,119,36,,
232,712.6,124,36.6,,
233,733.6,128.2,36.4,,
234,750.8,129.6,36.4,,
235,773,134.8,35.6,,
236,780.2,140.4,34.4,,
237,796.2,144.8,33.2,,
238,808.4,146.8,31.6,,
239,825.6,150.8,30.6,,
240,845,155,30.6,,
241,860.6,160.4,29.4,,
242,874.2,163.2,29,,
243,889.2,167.8,28,,
244,908,173,28.8,,
245,923,179.2,28,,
246,941.6,182.8,28.8,,
247,958.8,186.8,29.4,,
248,968.4,192,27.8,,
249,981.4,196.8,27.2,,
250,995.2,200.8,27,,
251,1009.8,203.8,25.8,,
252,1010.8,210.4,25.2,,
253,1018.2,217.6,24.6,,
254,1033.8,220.8,24.6,,
255,1047.8,226.4,24.6,,
256,1061.4,230.4,24,,
257,1069.6,236.4,25,,
258,1083.6,244,26.2,,
259,1085.2,245.6,26.2,,
260,1091,250.4,26.6,,
261,1096.6,253.4,25,,
262,1098.2,258.2,26.4,,
263,1101.6,264.8,26.2,,
264,1101.8,272.8,26,,
265,1107,280.6,26,,
266,1103.2,285.6,26.6,,
267,1103,293.8,27.8,,
268,1099.4,299.4,28.8,,
269,1099.4,308.4,29,,
270,1097,317.4,30.4,,
271,1092.4,323.4,30.4,,
272,1089.8,328.2,29.6,,
273,1084.6,337.8,30,,
274,1077.2,350.2,31.6,,
275,1072.6,358.6,31.4,,
276,1068.6,369.4,31.8,,
277,1055.2,381,33.6,,
278,1047.4,388.4,33.8,,
279,1041,393.8,34.4,,
280,1027.2,400.6,35.4,,
281,1012.4,405.8,35.4,,
282,1001,409.4,36,,
283,990,417.8,35.4,,
284,974.8,425.4,35.8,,
285,958.8,433.2,36.8,,
286,938.4,443,37.2,,
287,924.2,451.4,38,,
288,904.8,455.8,37.8,,
289,887,464,37.8,,
290,1077,477.75,35,,
291,1033,490.25,35.25,,
292,998.25,501.5,36,,
293,959.75,513.75,36.75,,
294,920.25,525.5,36.5,,
295,886.75,539,37,,
296,846,557.75,37.75,,
297,801.25,570.25,37.5,,
298,761.75,585.5,37,,
299,719,593.25,37,,
300,675.75,604.5,36.75,,
301,628.25,615.75,37,,
302,581,633.75,37.75,,
303,540.25,644.75,39.75,,
304,494,653.25,40.25,,
305,456.5,666.75,40.75,,
306,412.75,680.5,41.25,,
307,372.5,694.75,40.75,,
308,328.5,709.25,42.25,,
309,291,722.5,43.5,,
310,247.25,732,43.5,,
311,214.25,739.75,44.75,,
312,179,748.5,45.25,,
